스트링ID,,한국어,영어
ID,,Kr,En
String,,String,String
CharNameBear,,곰둥이,Gommy
FishNameCarp,,토종 붕어,Carp
FishNameKoi,,비단 잉어,Koi
FishNameLoach,,미꾸라지,Loach
FishNameCatFish,,물메기,CatFish
FishNameSalmon,,연어,Salmon
FishNameRedSeaBream,,참돔,RedSeaBream
FishNameMullet,,숭어,Mullet
FishNameFlounder,,도다리,Flounder
FishNameHairtail,,갈치,Hairtail
FishNameSeaBass,,농어,SeaBass
FishNameEel,,민물장어,Eel
FishNameMackerel,,고등어,Mackerel
FishNameKingPrawn,,대하,KingPrawn
FishNameGizzardShad,,전어,GizzardShad
FishNameYellowtail,,방어,Yellowtail
FishNameMonkfish,,아귀,Monkfish
FishNameTrout,,송어,Trout
FishNameGoldenMandarinFish,,황금쏘가리,GoldenMandarinFish
FishNameOarfish,,산갈치,Oarfish
FishNameGreatWhiteShark,,백상아리,GreatWhiteShark
FishNameSpermWhale,,향유고래,SpermWhale
FishNameCoelacanth,,실러캔스,Coelacanth
FishNameSeaEel,,붕장어,SeaEel
FishNameMandarin,,쏘가리,Mandarin
FishNamePiraruku,,피라루크,Piraruku
FishNameIceFish,,빙어,IceFish
FishNameNeonTetra,,네온테트라,NeonTetra
FishNameAnchovy,,멸치,Anchovy
FishNameSardine,,정어리,Sardine
FishNameBlobfish,,블롭피쉬,Blobfish
FishDescCarp,,황갈색 비늘이 덮인 납작하고 통통한 정겨운 외형을 가졌어요. 생명력이 아주 강해요.,"It has a flat, chubby, and endearing appearance covered in yellowish-brown scales. It is very resilient."
FishDescKoi,,"화려한 붉은색, 흰색, 노란색 무늬가 있어 '물속의 보석'이라 불리는 물고기에요.","It is a fish called the 'jewel of the water' because of its colorful red, white, and yellow patterns."
FishDescLoach,,매끄럽고 긴 몸에 콧수염이 달려 있어요. 진흙 속에서도 잘 사는 강인함을 지녔어요.,"It has a long, smooth body and a mustache. It possesses the strength to thrive even in the mud."
FishDescCatFish,,흐물흐물하고 넙데데한 생김새를 가졌어요. 못생겼지만 시원한 해장국 재료로 인기가 많아요.,"It has a mushy and flat appearance. It is ugly, but it is very popular as an ingredient for refreshing hangover soup."
FishDescSalmon,,은빛 몸에 검은 점이 있어요. 강을 거슬러 오르는 회귀 본능을 가진 건강의 상징이에요.,It has a silver body with black spots. It is a symbol of health with a homing instinct that swims upstream.
FishDescRedSeaBream,,분홍빛 비늘과 푸른 반점이 특징이에요. '바다의 여왕'이라 불리는 고급스러운 자태를 뽐내요.,It is characterized by pink scales and blue spots. It boasts a luxurious appearance known as the 'Queen of the Sea'.
FishDescMullet,,길쭉한 유선형 몸에 둥근 머리를 가졌어요. 겨울과 봄 사이 맛이 차오르는 힘찬 물고기에요.,"It has an elongated, streamlined body and a round head. It is a vigorous fish whose flavor comes alive between winter and spring."
FishDescFlounder,,납작한 몸에 눈이 오른쪽에 쏠려 있어요. 주로 봄철에 많은 사랑을 받는 물고기에요.,"It has a flat body and its eyes are skewed to the right. It is a fish that is very popular, mainly in the spring."
FishDescHairtail,,은색 칼처럼 길고 얇은 몸을 가졌어요. 반짝이는 은분이 특징인 물고기에요.,"It has a long, slender body like a silver sword. It is a fish characterized by its sparkling silver powder."
FishDescSeaBass,,날렵하고 탄탄한 은회색 몸매를 자랑해요. 여름철 대표적인 보양 물고기에요.,It boasts a sleek and sturdy silver-gray body. It is a representative health-boosting fish for the summer.
FishDescEel,,뱀처럼 길고 매끄러운 몸을 가졌어요. 강력한 스테미나의 상징으로 불리는 물고기에요.,"It has a long, sleek body like a snake. It is a fish known as a symbol of powerful stamina."
FishDescMackerel,,등에 선명한 푸른 물결무늬가 있는 게 특징이에요. 우리에게 친숙한 대중적인 등푸른생선이에요.,It is characterized by vivid blue wavy patterns on its back. It is a popular blue-backed fish that is familiar to us.
FishDescKingPrawn,,긴 수염과 굽은 몸을 가진 큰 새우에요. 가을철 별미로 손꼽히는 탱글한 식감을 가졌어요.,It is a large shrimp with long whiskers and a curved body. It has a firm texture that is considered an autumn delicacy.
FishDescGizzardShad,,은빛 배에 검은 점무늬가 있어요. 가을에 특히 더 맛있는 물고기에요.,It has black spots on its silver belly. It is a fish that tastes especially good in the autumn.
FishDescYellowtail,,대형 유선형 몸에 노란 가로줄이 그어져 있어요. 겨울철 기름진 살이 일품인 물고기에요.,"It has a large, streamlined body with yellow horizontal stripes. It is a fish renowned for its fatty flesh during the winter."
FishDescMonkfish,,"거대한 입과 머리, 낚싯대 모양 촉수를 가졌어요. 독특한 외모를 가진 심해의 포식자에요.","It has a huge mouth and head, and fishing rod-shaped tentacles. It is a deep-sea predator with a unique appearance."
FishDescTrout,,몸 옆면의 분홍색 무지개 띠가 아름다워요. 깨끗하고 차가운 물에 사는 날렵한 민물고기에요.,"The pink rainbow band on the side of its body is beautiful. It is a sleek freshwater fish that lives in clean, cold water."
FishDescGoldenMandarinFish,,선명한 금빛 비늘이 특징이에요. 희귀성이 높아 천연기념물로 지정된 물고기에요.,It is characterized by its vivid golden scales. It is a fish designated as a natural monument due to its high rarity.
FishDescOarfish,,수 미터에 달하는 붉은 지느러미와 긴 몸을 가졌어요. 심해에서 온 전설의 거대 물고기에요.,It has red fins reaching several meters in length and a long body. It is a legendary giant fish from the deep sea.
FishDescGreatWhiteShark,,날카로운 이빨과 삼각형 지느러미를 가졌어요. 바닷속 최상위 포식자로 군림하고 있어요.,It has sharp teeth and triangular fins. It reigns as the top predator in the ocean.
FishDescSpermWhale,,거대한 사각형 머리와 묵직한 몸집을 가졌어요. 심해 깊은 곳까지 잠수하는 고래의 왕이에요.,It has a huge square head and a heavy body. It is the king of whales that dives to the deep sea.
FishDescCoelacanth,,다리 같은 지느러미와 단단한 비늘이 특징이에요. '살아있는 화석'으로 불리는 고대 어류에요.,It is characterized by leg-like fins and hard scales. It is an ancient fish known as a 'living fossil'.
FishDescSeaEel,,갈색 몸에 옆구리 흰 점선이 있어요. 고소한 맛이 특징인 물고기에요.,It has a brown body with white dotted lines on its sides. It is a fish characterized by its savory taste.
FishDescMandarin,,표범 같은 얼룩무늬와 날카로운 등가시를 가졌어요. 민물의 제왕이라 불리는 포식자에요.,It has leopard-like spots and sharp dorsal spines. It is a predator known as the king of freshwater.
FishDescPiraruku,,붉은 빛의 거대한 비늘을 가졌어요. 아마존에 서식하는 세계 최대 크기의 민물고기에요.,It has huge red scales. It is the world's largest freshwater fish that inhabits the Amazon.
FishDescIceFish,,투명하고 가냘픈 작은 몸매를 가졌어요. 겨울 호수의 은빛 요정이라 불리는 깨끗한 물고기에요.,"It has a transparent, slender, small body. It is a clean fish called the silver fairy of the winter lake."
FishDescNeonTetra,,옆구리의 형광 파란색 줄무늬가 예뻐요. 수족관을 화려하게 수놓는 작은 열대어에요.,The fluorescent blue stripes on its sides are pretty. It is a small tropical fish that adds a colorful touch to the aquarium.
FishDescAnchovy,,작고 반짝이는 은빛 몸을 가졌어요. 바다 생태계의 기초가 되는 소중한 물고기에요.,"It has a small, shiny silver body. It is a precious fish that forms the foundation of the marine ecosystem."
FishDescSardine,,옆구리에 일렬로 난 검은 점들이 특징이에요. 무리 지어 이동하며 바다를 누비는 유선형 물고기에요.,It is characterized by a row of black spots on its sides. It is a streamlined fish that moves in schools and roams the seas.
FishDescBlobFish,,코가 큰 사람 얼굴 같은 억울한 표정을 짓고 있어요. 세상에서 가장 못생긴 물고기 1위로 뽑혔어요.,It is making an aggrieved expression like a person with a big nose. It was voted the ugliest fish in the world.
FoodNameSashimiBasic,,기본 회,Standard Sashimi
FoodNameBoiledCarp,,붕어 찜,Braised Crucian Carp
FoodNameGrilledSalmon,,연어 스테이크,Salmon Steak
FoodNameGrilledRedSeaBream,,참돔 구이,Grilled Red Sea Bream
FoodNameGrilledGoldenMandarinFish,,황금쏘가리 구이,Grilled Golden Mandarin Fish
FoodNameGrilledKoi,,잉어 구이,Grilled Carp
FoodNameSoupMandarin,,쏘가리 매운탕,Spicy Mandarin Fish Stew
FoodNameGrilledAnchovy,,멸치 볶음,Stir-fried Anchovies
FoodNameSoupGreatWhiteShark,,샥스핀,Shark Fin Soup
FoodNameGrilledSeaBass,,농어 스테이크,Sea Bass Steak
FoodNameGrilledGizzardShad,,전어 구이,Grilled Gizzard Shad
FoodNameSoupCatFish,,메기 매운탕,Spicy Catfish Stew
FoodNameSoupLoach,,추어탕,Chueo-tang (Loach Soup)
FoodNameSoupEel,,장어탕,Eel Soup
FoodNameSoupCoelacanth,,실러캔스탕,Coelacanth Soup
FoodNameBoiledNeonTetra,,네온테트라조림,Braised Neon Tetra
FoodNameSoupFlounder,,도다리쑥국,Flounder Soup with Mugwort
FoodNameBoiledBlobfish,,블롭피쉬조림,Braised Blobfish
FoodDescSashimiBasic,,생선 본연의 식감과 신선함을 가장 잘 느낄 수 있는 담백한 조리법이에요.,It is a light cooking method that best allows you to experience the natural texture and freshness of the fish.
FoodDescBoiledCarp,,부드러운 붕어 살에 매콤달콤한 양념이 잘 배어든 정성 가득한 민물 요리에요.,"It is a freshwater dish made with great care, featuring tender crucian carp meat infused with a sweet and spicy seasoning."
FoodDescGrilledSalmon,,고소한 풍미와 부드러운 식감이 일품인 서구식 생선 요리에요.,It is a Western-style fish dish with an exquisite savory flavor and tender texture.
FoodDescGrilledRedSeaBream,,겉은 바삭하고 속은 촉촉하게 구워낸 고급스럽고 담백한 생선 구이에요.,It is a luxurious and light grilled fish that is crispy on the outside and moist on the inside.
FoodDescGrilledGoldenMandarinFish,,귀한 황금쏘가리를 구워내어 쫄깃한 식감과 고소함이 극대화된 구이에요.,"This is a grilled dish made with precious golden mandarin fish, maximizing the chewy texture and savory flavor."
FoodDescGrilledKoi,,잉어의 큼직한 살집을 살려 노릇하게 구워낸 보양식 스타일의 구이에요.,"It is a nourishing grilled dish made by grilling the carp until golden brown, preserving its large flesh."
FoodDescSoupMandarin,,탄탄한 육질과 시원하고 칼칼한 국물이 어우러진 요리에요.,It is a dish where firm meat texture harmonizes with a refreshing and spicy broth.
FoodDescGrilledAnchovy,,바삭한 식감과 달콤 짭조름한 양념이 조화를 이루는 최고의 밑반찬이에요.,It is the best side dish with a harmonious blend of crispy texture and sweet and salty seasoning.
FoodDescSoupGreatWhiteShark,,부드럽고 독특한 식감이 특징인 중화권의 귀한 보양식 스프 요리에요.,It is a precious nourishing soup dish from the Chinese-speaking world characterized by its soft texture and unique flavor.
FoodDescGrilledSeaBass,,탄탄하고 담백한 농어 살을 두툼하게 구워내 풍부한 육즙을 자랑하는 요리에요.,"This dish features thick, grilled sea bass fillets that are firm and lean, boasting rich juices."
FoodDescGrilledGizzardShad,,집 나간 며느리도 돌아오게 한다는 고소한 기름기가 가득한 생선 구이에요.,It is a grilled fish full of savory oil that is said to bring even a runaway daughter-in-law back home.
FoodDescSoupCatFish,,진하고 걸쭉한 국물에 메기의 부드러운 살이 녹아든 든든한 매운탕 요리에요.,It is a hearty spicy fish stew with tender catfish meat melting in a rich and thick broth.
FoodDescSoupLoach,,미꾸라지를 푹 고아 갈아 넣은 진하고 구수한 한국의 전통 보양 스태미나식이에요.,It is a rich and savory traditional Korean restorative stamina dish made by thoroughly boiling and grinding loach.
FoodDescSoupEel,,장어의 기운이 통째로 녹아든 걸쭉하고 담백한 국물이 일품인 영양식이에요.,It is a nutritious dish featuring a rich and savory broth infused with the full energy of the eel.
FoodDescSoupCoelacanth,,수억 년 전의 맛이 느껴질 듯한 신비로운 비주얼의 전설적인 심해 요리에요.,It is a legendary deep-sea dish with a mysterious visual appearance that seems to capture the taste of hundreds of millions of years ago.
FoodDescBoiledNeonTetra,,작은 열대어의 빛깔이 무색하게 매콤한 양념에 졸여낸 기묘한 소형 어류 요리에요.,It is a peculiar dish of small fish simmered in a spicy sauce that overshadows the vibrant colors of the small tropical fish.
FoodDescSoupFlounder,,향긋한 봄 쑥과 제철 도다리가 만나 봄의 기운을 그대로 전하는 맑은 국물 요리에요.,"It is a clear broth dish that conveys the spirit of spring exactly as it is, featuring fragrant spring mugwort and seasonal flounder."
FoodDescBoiledBlobfish,,특유의 흐물흐물한 식감이 양념과 만나 독특한 풍미를 자아내는 희귀한 요리에요.,It is a rare dish where the distinctive soft texture meets the seasoning to create a unique flavor.
CurrencyNameLpPiece,,LP조각,Piece of LP
CurrencyNameGold,,골드,Gold
ItemNameLowBait,,하급 미끼,Low Bait
ItemNameMiddleBait,,중급 미끼,Middle Bait
